lesson_id	kana	romaji	meaning_vi	audio_key	script	tags
1	あおい	aoi	màu xanh [i-adj.]	lesson_e9b0c313e141	HIRAGANA	BASIC
1	あか	aka	màu đỏ [danh từ]	lesson_40df09fa674c	HIRAGANA	BASIC
1	あかい	akai	màu đỏ [i-adj.]	lesson_dd450823cddf	HIRAGANA	BASIC
1	あかるい	akarui	sáng, nhẹ [i-adj.]	lesson_e5fff82246e9	HIRAGANA	BASIC
1	あき	aki	mùa thu, mùa thu	lesson_4b61956523fd	HIRAGANA	BASIC
1	あさ	asa	buổi sáng	lesson_4dcc6bc4aacb	HIRAGANA	BASIC
1	あし	ashi	chân, bàn chân	lesson_07edf881b7d9	HIRAGANA	BASIC
1	あした	ashita	ngày mai	lesson_542cc28807b4	HIRAGANA	BASIC
1	あそこ	asoko	đằng kia	lesson_b1f9df0f3075	HIRAGANA	BASIC
1	あたたかい	atatakai	ấm áp [i-adj.]	lesson_d13aa1e57ee3	HIRAGANA	BASIC
1	あたま	atama	cái đầu	lesson_ffcae03e6057	HIRAGANA	BASIC
1	あちら	achira	đằng kia 「	lesson_1de5a9729510	HIRAGANA	BASIC
1	あつい	atsui	nóng [i-adj.]	lesson_f2bb1e2a7a1d	HIRAGANA	BASIC
1	あと	ato	sau	lesson_0d930149329d	HIRAGANA	BASIC
1	あに	ani	anh trai của tôi)	lesson_4205b176ccb4	HIRAGANA	BASIC
1	あね	ane	chị gái của tôi)	lesson_be83b76cc2a4	HIRAGANA	BASIC
1	あの	ano	đó	lesson_9d05d4a1b1d0	HIRAGANA	BASIC
1	あまい	amai	ngọt ngào [i-adj.]	lesson_54a98b039322	HIRAGANA	BASIC
1	あまり	amari	không nhiều	lesson_1d2fcffa225f	HIRAGANA	BASIC
1	あめ	ame	mưa	lesson_d81b8564264c	HIRAGANA	BASIC
1	あれ	are	đó (một)	lesson_01dd1d4130bb	HIRAGANA	BASIC
1	いえ	ie	nhà ở	lesson_bf4e36ec4238	HIRAGANA	BASIC
1	いくつ	ikutsu	bao nhiêu, bao nhiêu tuổi	lesson_0105b5ca5d3f	HIRAGANA	BASIC
1	いくら	ikura	bao nhiêu	lesson_b90e2e1a940b	HIRAGANA	BASIC
1	いけ	ike	ao	lesson_49a64b7c7597	HIRAGANA	BASIC
1	いす	isu	cái ghế	lesson_c5197e840132	HIRAGANA	BASIC
1	いたい	itai	đau đớn [i-adj.]	lesson_822eda79df50	HIRAGANA	BASIC
1	いち	ichi	một	lesson_e0ef1ee214c0	HIRAGANA	BASIC
1	いちにち	ichinichi	một ngày	lesson_a70466e1a280	HIRAGANA	BASIC
1	いつ	itsu	khi nào	lesson_2d6221baa73f	HIRAGANA	BASIC
1	いつか	itsuka	ngày thứ năm của tháng, năm ngày	lesson_325bbd592cf3	HIRAGANA	BASIC
1	いつつ	itsutsu	năm	lesson_9a4151395fe1	HIRAGANA	BASIC
1	いつも	itsumo	luôn luôn	lesson_f1c91811d480	HIRAGANA	BASIC
1	いま	ima	bây giờ	lesson_23a32f106a4e	HIRAGANA	BASIC
1	いみ	imi	ý nghĩa	lesson_344f44c618ec	HIRAGANA	BASIC
1	いや	iya	đáng ghét, không đáng yêu, khó chịu [na-adj.]	lesson_c9177450298c	HIRAGANA	BASIC
1	いろ	iro	màu sắc	lesson_2b4861b6770c	HIRAGANA	BASIC
1	いろいろ	iroiro	nhiều [na-adj.]	lesson_0173abb167e5	HIRAGANA	BASIC
1	うえ	ue	trên, trên, trên cùng	lesson_bae8a4bd8e8f	HIRAGANA	BASIC
1	うしろ	ushiro	phía sau, đằng sau	lesson_8ee358d8870d	HIRAGANA	BASIC
1	うすい	usui	mỏng [i-adj.]	lesson_78a4c8f4e80b	HIRAGANA	BASIC
1	うた	uta	bài hát	lesson_47e97c8fbf0a	HIRAGANA	BASIC
1	うち	uchi	nhà	lesson_1d25d18f1a3f	HIRAGANA	BASIC
1	うみ	umi	biển	lesson_20efa2e0e457	HIRAGANA	BASIC
1	うるさい	urusai	to [i-adj.]	lesson_dfd293206114	HIRAGANA	BASIC
1	えき	eki	trạm	lesson_1f819272ac2b	HIRAGANA	BASIC
1	おかし	okashi	bánh kẹo, bánh ngọt, kẹo, đồ ngọt	lesson_f0bfbff4725b	HIRAGANA	BASIC
1	おかね	okane	tiền bạc	lesson_9fadedc0cac8	HIRAGANA	BASIC
1	おくさん	okusan	vợ của ai đó	lesson_9205624fde3b	HIRAGANA	BASIC
1	おそい	osoi	muộn [i-adj.]	lesson_d40fbf8a4594	HIRAGANA	BASIC
1	おてあらい	otearai	nhà vệ sinh, nhà vệ sinh	lesson_8b8ccdbe3855	HIRAGANA	BASIC
1	おとこ	otoko	nam giới	lesson_66d7061aba2f	HIRAGANA	BASIC
1	おとこのこ	otokonoko	cậu bé	lesson_e06d5c5fd1ce	HIRAGANA	BASIC
1	おととい	ototoi	ngày hôm kia	lesson_d236a1dc0fee	HIRAGANA	BASIC
1	おととし	ototoshi	năm trước năm ngoái	lesson_cc8b39872172	HIRAGANA	BASIC
1	おとな	otona	người lớn	lesson_2c340115d3b1	HIRAGANA	BASIC
1	おなか	onaka	dạ dày	lesson_a3a37e953808	HIRAGANA	BASIC
1	おみせ	omise	cửa hàng =	lesson_b9aa686c754a	HIRAGANA	BASIC
1	おもい	omoi	nặng [i-adj.]	lesson_3d1f93b1214f	HIRAGANA	BASIC
1	おもしろい	omoshiroi	vui vẻ, hài hước, thú vị [i-adj.]	lesson_e02d95623306	HIRAGANA	BASIC
1	おんな	onna	nữ	lesson_a08f153eb608	HIRAGANA	BASIC
1	おんなのこ	onnanoko	cô gái	lesson_1efb98c7bad0	HIRAGANA	BASIC
1	かいもの	kaimono	mua sắm	lesson_d5e991c5fef6	HIRAGANA	BASIC
1	かお	kao	đối mặt	lesson_0b2aa9996c59	HIRAGANA	BASIC
1	かさ	kasa	ô	lesson_4eb7b7e8dd3a	HIRAGANA	BASIC
1	かた	kata	người (tôn trọng)	lesson_24d7060bada9	HIRAGANA	BASIC
1	かない	kanai	vợ của tôi	lesson_6d9ab82ea7c6	HIRAGANA	BASIC
1	かみ	kami	giấy	lesson_8fc5be8946b3	HIRAGANA	BASIC
1	からい	karai	nóng, cay [i-adj.]	lesson_7d2943b223c9	HIRAGANA	BASIC
1	かるい	karui	nhẹ, không nặng [i-adj.]	lesson_07be28f2ef02	HIRAGANA	BASIC
1	かわ	kawa	con sông	lesson_1d9015bd0f17	HIRAGANA	BASIC
1	かんたん	kantan	dễ dàng [na-adj.]	lesson_e64cbd318df5	HIRAGANA	BASIC
1	きた	kita	phía bắc	lesson_3fa23df0c3af	HIRAGANA	BASIC
1	きたない	kitanai	bẩn [i-adj.]	lesson_967ca050c23e	HIRAGANA	BASIC
1	きらい	kirai	đáng ghét, khó chịu, không đáng yêu [na-adj.]	lesson_1b81d16460de	HIRAGANA	BASIC
1	きん	kin	thứ sáu =	lesson_e548b66f2e5c	HIRAGANA	BASIC
1	くすり	kusuri	y học	lesson_8ab591415a2f	HIRAGANA	BASIC
1	くち	kuchi	miệng	lesson_08c26b98ba98	HIRAGANA	BASIC
1	くつ	kutsu	giày	lesson_412905de624a	HIRAGANA	BASIC
1	くつした	kutsushita	vớ	lesson_8bed37e6fd35	HIRAGANA	BASIC
1	くに	kuni	đất nước	lesson_7b473f28b399	HIRAGANA	BASIC
1	くもり	kumori	thời tiết nhiều mây	lesson_2ea8f3e9ba90	HIRAGANA	BASIC
1	くらい	kurai	tối [i-adj.]	lesson_63a45f719f92	HIRAGANA	BASIC
1	くるま	kuruma	xe hơi	lesson_d4af6eb1ccdc	HIRAGANA	BASIC
1	くろ	kuro	đen [danh từ]	lesson_cf934f3ce6a0	HIRAGANA	BASIC
1	くろい	kuroi	đen [i-adj.]	lesson_5b0f8b645612	HIRAGANA	BASIC
1	けさ	kesa	sáng nay	lesson_a070399dbfce	HIRAGANA	BASIC
1	こえ	koe	giọng nói	lesson_291ce0bfd57b	HIRAGANA	BASIC
1	ここ	koko	ở đây	lesson_c92a9d33a651	HIRAGANA	BASIC
1	ここのか	kokonoka	ngày thứ chín của tháng, chín ngày	lesson_653cb7badef7	HIRAGANA	BASIC
1	ここのつ	kokonotsu	chín	lesson_54178e61dc94	HIRAGANA	BASIC
1	こたえ	kotae	câu trả lời	lesson_08e364f3e2a3	HIRAGANA	BASIC
1	こちら	kochira	bên này, nơi này, bên này	lesson_8e357a093d6d	HIRAGANA	BASIC
1	ことし	kotoshi	năm nay	lesson_137570996a66	HIRAGANA	BASIC
1	この	kono	cái này	lesson_dc3e61880d43	HIRAGANA	BASIC
1	これ	kore	cái này (một)	lesson_ac62cbc2adad	HIRAGANA	BASIC
1	こんな	konna	kiểu này, như thế này [na-adj.]	lesson_67aae75bbf63	HIRAGANA	BASIC
1	さかな	sakana	cá	lesson_c9a3ad83d0ca	HIRAGANA	BASIC
1	さき	saki	trước đây, trước đó	lesson_215da46947dd	HIRAGANA	BASIC
1	さむい	samui	lạnh (thời tiết) [i-adj.]	lesson_5ff1c21752cc	HIRAGANA	BASIC
2	あさごはん	asagohan	bữa ăn sáng	lesson_4d59411a111e	HIRAGANA	DAKUON
2	あぶない	abunai	nguy hiểm [i-adj.]	lesson_4fe91493828e	HIRAGANA	DAKUON
2	いちど	ichido	một lần	lesson_ca5de0676199	HIRAGANA	DAKUON
2	いちばん	ichiban	điều tốt nhất	lesson_419d11f5e0ff	HIRAGANA	DAKUON
2	いりぐち	iriguchi	lối vào	lesson_43c0172ad9a5	HIRAGANA	DAKUON
2	うわぎ	uwagi	áo khoác, áo jacket, áo khoác ngoài	lesson_33c65427683a	HIRAGANA	DAKUON
2	おなじ	onaji	giống nhau	lesson_6c49211d949f	HIRAGANA	DAKUON
2	おにぎり	onigiri	cơm nắm	lesson_634befb62a51	HIRAGANA	DAKUON
2	おんがく	ongaku	âm nhạc	lesson_0c9a3f852968	HIRAGANA	DAKUON
2	がいこく	gaikoku	nước ngoài	lesson_7892548ea0bc	HIRAGANA	DAKUON
2	がいこくじん	gaikokujin	người nước ngoài	lesson_9ae667187f46	HIRAGANA	DAKUON
2	かいだん	kaidan	cầu thang	lesson_0187ae27c711	HIRAGANA	DAKUON
2	かぎ	kagi	chìa khóa	lesson_2aa878d72ad6	HIRAGANA	DAKUON
2	かぜ	kaze	gió	lesson_eeae999e9ad7	HIRAGANA	DAKUON
2	かぞく	kazoku	gia đình	lesson_710a4d550b6e	HIRAGANA	DAKUON
2	かど	kado	góc	lesson_9b006a96d574	HIRAGANA	DAKUON
2	かばん	kaban	túi	lesson_090c4c1158c0	HIRAGANA	DAKUON
2	かびん	kabin	bình hoa	lesson_63f4a1a0a7d0	HIRAGANA	DAKUON
2	からだ	karada	cơ thể	lesson_f81ed7a6a985	HIRAGANA	DAKUON
2	かんじ	kanji	chữ Hán	lesson_32686218f109	HIRAGANA	DAKUON
2	くだもの	kudamono	trái cây	lesson_f5a2cde1bf5a	HIRAGANA	DAKUON
2	げんかん	genkan	cửa trước, lối vào phía trước	lesson_1d20a2ecf1b3	HIRAGANA	DAKUON
2	げんき	genki	ổn [na-adj.]	lesson_8ae359757660	HIRAGANA	DAKUON
2	ごご	gogo	buổi chiều, chiều	lesson_8338e52c2a4e	HIRAGANA	DAKUON
2	ごぜん	gozen	sáng	lesson_172aebba3ba3	HIRAGANA	DAKUON
2	ことば	kotoba	từ, ngôn ngữ, cụm từ	lesson_bb1285baf0fb	HIRAGANA	DAKUON
2	こども	kodomo	đứa trẻ	lesson_bd26a6703971	HIRAGANA	DAKUON
2	ごはん	gohan	cơm, bữa ăn	lesson_35206e78999e	HIRAGANA	DAKUON
2	こんげつ	kongetsu	tháng này	lesson_81b989c177ad	HIRAGANA	DAKUON
2	こんばん	konban	tối nay	lesson_a94007a0a981	HIRAGANA	DAKUON
2	さいご	saigo	kết thúc, lần trước	lesson_384487d7298a	HIRAGANA	DAKUON
2	さくぶん	sakubun	thành phần	lesson_b0b1f1ee874b	HIRAGANA	DAKUON
2	じかん	jikan	thời gian	lesson_43528285458d	HIRAGANA	DAKUON
2	しごと	shigoto	làm việc	lesson_f0b539cb324f	HIRAGANA	DAKUON
2	しずか	shizuka	yên tĩnh [na-adj.]	lesson_75d440e93bca	HIRAGANA	DAKUON
2	じびき	jibiki	từ điển =	lesson_10f40908ca48	HIRAGANA	DAKUON
2	じぶん	jibun	chính mình	lesson_bcf787ffd5a9	HIRAGANA	DAKUON
2	しんぶん	shinbun	tờ báo	lesson_4c1993fed88c	HIRAGANA	DAKUON
2	すぐに	suguni	sớm, ngay lập tức	lesson_8aa86aa295b6	HIRAGANA	DAKUON
2	せびろ	sebiro	áo khoác, bộ đồ	lesson_979fbb55639b	HIRAGANA	DAKUON
2	せんげつ	sengetsu	tháng trước	lesson_4268d7bd5031	HIRAGANA	DAKUON
2	ぜんぶ	zenbu	tất cả	lesson_dbcedef26053	HIRAGANA	DAKUON
2	そば	soba	gần đó	lesson_aea7b4707315	HIRAGANA	DAKUON
2	それでは	soredeha	vậy thì, được rồi	lesson_9ce951aa8e51	HIRAGANA	DAKUON
2	だいがく	daigaku	trường đại học	lesson_04d5f579ed3d	HIRAGANA	DAKUON
2	だいすき	daisuki	rất thích, rất thích [na-adj.]	lesson_0c82da5e8dea	HIRAGANA	DAKUON
2	だいたい	daitai	gần như	lesson_65ede9049b5e	HIRAGANA	DAKUON
2	だいどころ	daidokoro	nhà bếp	lesson_4ab7e0a6330a	HIRAGANA	DAKUON
2	だから	dakara	vì vậy, do đó	lesson_c57ba9103d21	HIRAGANA	DAKUON
2	たばこ	tabako	thuốc lá, thuốc lá	lesson_8b6b06a85157	HIRAGANA	DAKUON
2	たぶん	tabun	có lẽ, có lẽ	lesson_fd3b626b8476	HIRAGANA	DAKUON
2	たべもの	tabemono	thức ăn	lesson_791c549738ea	HIRAGANA	DAKUON
2	たまご	tamago	quả trứng	lesson_7446c97eeae7	HIRAGANA	DAKUON
2	だれ	dare	ai	lesson_2fb84bb825f8	HIRAGANA	DAKUON
2	だんだん	dandan	dần dần, từng chút một	lesson_232cb07d995d	HIRAGANA	DAKUON
2	ちず	chizu	bản đồ	lesson_a12b39180817	HIRAGANA	DAKUON
2	つぎ	tsugi	tiếp theo	lesson_1863eae7cfba	HIRAGANA	DAKUON
2	てがみ	tegami	lá thư	lesson_150b0dab8a45	HIRAGANA	DAKUON
2	でぐち	deguchi	lối ra	lesson_3ca6e73dde08	HIRAGANA	DAKUON
