category	reading	romaji	meaning_vi	audio_key	written	meaning_en
YOUON	じゃ	ja	sau đó	practice_youon_001	じゃ	then
YOUON	じゃない	janai	không phải	practice_youon_002	じゃない	is not
YOUON	じゅう	juu	(tất cả) xuyên qua (ví dụ: đêm)	practice_youon_003	中	(all) through (e.g. the night)
YOUON	ちゅう	chuu	trung bình (kích thước)	practice_youon_004	中	medium (size)
YOUON	じゃないか	janaika	phải không?	practice_youon_005	じゃ無いか	isn't it?
YOUON	にっちゅう	nitchuu	ban ngày	practice_youon_006	日中	daytime
YOUON	でしょ	desho	có vẻ như	practice_youon_007	でしょ	it seems
YOUON	それじゃ	soreja	à,...	practice_youon_008	それじゃ	well, ...
YOUON	でしょうか	deshouka	bạn có nghĩ vậy không?	practice_youon_009	でしょうか	don't you think?
YOUON	にほんじゅう	nihonjuu	trên khắp Nhật Bản	practice_youon_010	日本中	throughout Japan
YOUON	じゃどう	jadou	cách (làm) không đúng	practice_youon_011	邪道	improper way (of doing)
YOUON	じょう	jou	từ quan điểm của	practice_youon_012	上	from the standpoint of
YOUON	ちょっと	chotto	một chút	practice_youon_013	ちょっと	a little
YOUON	いちにちじゅう	ichinichijuu	suốt cả ngày	practice_youon_014	一日中	all day long
YOUON	じょうほう	jouhou	thông tin	practice_youon_015	情報	information
YOUON	りょく	ryoku	sức mạnh	practice_youon_016	力	strength
YOUON	きょう	kyou	hôm nay	practice_youon_017	今日	today
YOUON	ちゃん	chan	hậu tố cho người quen	practice_youon_018	ちゃん	suffix for familiar person
YOUON	いじょう	ijou	không ít hơn...	practice_youon_019	以上	not less than ...
YOUON	しごとちゅう	shigotochuu	tại nơi làm việc	practice_youon_020	仕事中	at work
YOUON	しゅったい	shuttai	sự xuất hiện	practice_youon_021	出来	occurrence
YOUON	さんしゃ	sansha	ba người	practice_youon_022	三者	three persons
YOUON	じょせい	josei	người phụ nữ	practice_youon_023	女性	woman
YOUON	とうきょう	toukyou	Tokyo	practice_youon_024	東京	Tokyo
YOUON	かんけいしゃ	kankeisha	người liên quan	practice_youon_025	関係者	person concerned
YOUON	いっしょ	issho	(làm) cùng nhau	practice_youon_026	一緒	(doing) together
YOUON	いっしょに	isshoni	cùng (với)	practice_youon_027	一緒に	together (with)
YOUON	しゃしん	shashin	bức ảnh	practice_youon_028	写真	photograph
YOUON	ましょうか	mashouka	phải không?	practice_youon_029	ましょうか	shall I?
YOUON	かいしゃ	kaisha	công ty	practice_youon_030	会社	company
YOUON	じょせいてき	joseiteki	nữ tính	practice_youon_031	女性的	feminine
YOUON	わけじゃない	wakejanai	điều đó không có nghĩa là...	practice_youon_032	訳じゃない	it does not mean that ...
YOUON	ちょう	chou	siêu-	practice_youon_033	超	super-
YOUON	むりょう	muryou	miễn phí (có tính phí)	practice_youon_034	無料	free (of charge)
YOUON	ばしょ	basho	địa điểm	practice_youon_035	場所	place
YOUON	しようしゃ	shiyousha	người dùng	practice_youon_036	使用者	user
YOUON	じゅうくにち	juukunichi	Ngày 19 của tháng	practice_youon_037	１９日	19th day of the month
YOUON	じゅうごにち	juugonichi	Ngày 15 của tháng	practice_youon_038	１５日	15th day of the month
YOUON	じゅうににち	juuninichi	Ngày 12 của tháng	practice_youon_039	１２日	12th day of the month
YOUON	じゅうよっか	juuyokka	Ngày 14 của tháng	practice_youon_040	１４日	14th day of the month
YOUON	だいじょうぶ	daijoubu	an toàn	practice_youon_041	大丈夫	safe
YOUON	じゅういちにち	juuichinichi	Ngày 11 của tháng	practice_youon_042	１１日	11th day of the month
YOUON	じゅうさんにち	juusannichi	Ngày 13 của tháng	practice_youon_043	１３日	13th day of the month
YOUON	じゅうしちにち	juushichinichi	Ngày 17 của tháng	practice_youon_044	１７日	17th day of the month
YOUON	じゅうはちにち	juuhachinichi	Ngày 18 của tháng	practice_youon_045	１８日	18th day of the month
YOUON	じゅうろくにち	juurokunichi	Ngày 16 của tháng	practice_youon_046	１６日	16th day of the month
YOUON	さんかしゃ	sankasha	người tham gia	practice_youon_047	参加者	participant
YOUON	じゃま	jama	sự cản trở	practice_youon_048	邪魔	hindrance
YOUON	しゃかい	shakai	xã hội	practice_youon_049	社会	society
YOUON	じゅうがつ	juugatsu	tháng mười	practice_youon_050	１０月	October
YOUON	じゅうにがつ	juunigatsu	tháng mười hai	practice_youon_051	１２月	December
YOUON	じゅういちがつ	juuichigatsu	tháng mười một	practice_youon_052	１１月	November
YOUON	さいしょ	saisho	sự khởi đầu	practice_youon_053	最初	beginning
YOUON	かのじょ	kanojo	cô ấy	practice_youon_054	彼女	she
YOUON	なんじゅう	nanjuu	(vài) hàng chục	practice_youon_055	何十	(several) tens
YOUON	きょく	kyoku	thành phần	practice_youon_056	曲	composition
YOUON	ちゃう	chau	làm hoàn toàn	practice_youon_057	ちゃう	to do completely
YOUON	きぎょう	kigyou	doanh nghiệp	practice_youon_058	企業	enterprise
YOUON	じゅういち	juuichi	mười một	practice_youon_059	十一	eleven
YOUON	しゃかいじん	shakaijin	người lớn đang đi làm	practice_youon_060	社会人	working adult
YOUON	ちゃ	cha	trà	practice_youon_061	茶	tea
YOUON	ちゃうか	chauka	phải không?	practice_youon_062	ちゃうか	isn't it?
YOUON	じょし	joshi	người phụ nữ	practice_youon_063	女子	woman
YOUON	じょうたい	joutai	tiểu bang	practice_youon_064	状態	state
YOUON	しゃかいてき	shakaiteki	xã hội	practice_youon_065	社会的	social
YOUON	ちゃや	chaya	quán trà	practice_youon_066	茶屋	teahouse
YOUON	しゃしんか	shashinka	nhiếp ảnh gia	practice_youon_067	写真家	photographer
YOUON	ちゅうごく	chuugoku	Trung Quốc	practice_youon_068	中国	China
YOUON	おちゃ	ocha	trà (đặc biệt là trà xanh hoặc lúa mạch)	practice_youon_069	お茶	tea (esp. green or barley)
YOUON	にいちゃん	niichan	(của một người) anh trai	practice_youon_070	兄ちゃん	(one's) older brother
YOUON	にほんしゃかい	nihonshakai	xã hội Nhật Bản	practice_youon_071	日本社会	Japanese society
YOUON	じゅうぶん	juubun	đủ rồi	practice_youon_072	十分	enough
YOUON	りようしゃ	riyousha	người dùng	practice_youon_073	利用者	user
YOUON	じゅうに	juuni	mười hai	practice_youon_074	十二	twelve
YOUON	いっきょく	ikkyoku	giai điệu (giai điệu, đoạn nhạc)	practice_youon_075	一曲	tune (melody, piece of music)
YOUON	さんじょ	sanjo	con gái thứ ba	practice_youon_076	三女	third daughter
YOUON	じゅうまん	juuman	100.000	practice_youon_077	１０万	100,000
YOUON	すうじゅう	suujuu	hàng chục	practice_youon_078	数十	dozens
YOUON	にほんきぎょう	nihonkigyou	Công ty Nhật Bản (doanh nghiệp, công ty)	practice_youon_079	日本企業	Japanese company (business, firm)
YOUON	とうじょう	toujou	lối vào (trên sân khấu)	practice_youon_080	登場	entrance (on the stage)
YOUON	じょうきょう	joukyou	tình trạng	practice_youon_081	状況	state of affairs
YOUON	ぎじゅつ	gijutsu	công nghệ	practice_youon_082	技術	technology
YOUON	けんきゅう	kenkyuu	nghiên cứu	practice_youon_083	研究	research
YOUON	はっぴょう	happyou	thông báo	practice_youon_084	発表	announcement
YOUON	しゃかいせい	shakaisei	tính xã hội	practice_youon_085	社会性	sociality
YOUON	きぎょうか	kigyouka	nhà công nghiệp	practice_youon_086	企業家	industrialist
YOUON	じゅうさん	juusan	mười ba	practice_youon_087	十三	thirteen
YOUON	ちゃんと	chanto	siêng năng	practice_youon_088	ちゃんと	diligently
YOUON	にじゅう	nijuu	hai mươi	practice_youon_089	２０	twenty
YOUON	しょうかい	shoukai	giới thiệu	practice_youon_090	紹介	introduction
YOUON	だいきぎょう	daikigyou	công ty lớn	practice_youon_091	大企業	large company
YOUON	こうかいちゅう	koukaichuu	hiện có sẵn (ví dụ: để bán)	practice_youon_092	公開中	now available (e.g. for sale)
YOUON	ちょうさ	chousa	điều tra	practice_youon_093	調査	investigation
YOUON	じゅうよう	juuyou	quan trọng	practice_youon_094	重要	important
YOUON	ぎじゅつてき	gijutsuteki	kỹ thuật	practice_youon_095	技術的	technical
YOUON	じょうほうぶ	jouhoubu	phòng thông tin	practice_youon_096	情報部	information bureau
YOUON	しゃかいもんだい	shakaimondai	vấn đề xã hội	practice_youon_097	社会問題	social problem
YOUON	じゃく	jaku	ít hơn một chút	practice_youon_098	弱	a little less than
YOUON	ぎじゅつしゃ	gijutsusha	kỹ sư	practice_youon_099	技術者	engineer
YOUON	けんきゅうしゃ	kenkyuusha	nhà nghiên cứu	practice_youon_100	研究者	researcher
CHOUON	してい	shitei	bọn trẻ	practice_chouon_001	子弟	children
CHOUON	ないてい	naitei	điều tra bí mật	practice_chouon_002	内偵	secret investigation
CHOUON	にいん	niin	hai viện lập pháp	practice_chouon_003	二院	the two houses of legislature
CHOUON	いい	ii	tốt	practice_chouon_004	いい	good
CHOUON	だとう	datou	hợp lệ	practice_chouon_005	妥当	valid
CHOUON	そう	sou	xuất hiện điều đó	practice_chouon_006	そう	appearing that
CHOUON	ことう	kotou	hòn đảo cô đơn	practice_chouon_007	孤島	solitary island
CHOUON	たいい	taii	thuyền trưởng (Quân đội, Thủy quân lục chiến Hoa Kỳ, USAF)	practice_chouon_008	大尉	captain (Army, US Marine Corps, USAF)
CHOUON	にそう	nisou	ni cô phật giáo	practice_chouon_009	尼僧	Buddhist nun
CHOUON	でいたん	deitan	than bùn	practice_chouon_010	泥炭	peat
CHOUON	よう	you	say rượu	practice_chouon_011	酔う	to get drunk
CHOUON	ことがある	kotogaaru	(cho cái gì đó) đã xảy ra	practice_chouon_012	事がある	(for something) to have occurred
CHOUON	しそう	shisou	suy nghĩ	practice_chouon_013	思想	thought
CHOUON	そうし	soushi	sự sáng tạo	practice_chouon_014	創始	creation
CHOUON	とそう	tosou	lớp phủ	practice_chouon_015	塗装	coating
CHOUON	たよう	tayou	đa dạng	practice_chouon_016	多様	diverse
CHOUON	ようが	youga	hội họa phương Tây	practice_chouon_017	洋画	Western painting
CHOUON	ように	youni	thích	practice_chouon_018	様に	like
CHOUON	だんてい	dantei	kết luận	practice_chouon_019	断定	conclusion
CHOUON	ないそう	naisou	thiết kế nội thất	practice_chouon_020	内装	interior design
CHOUON	いいん	iin	thành viên ủy ban	practice_chouon_021	委員	committee member
CHOUON	そうだ	souda	đúng là như vậy	practice_chouon_022	そうだ	that is so
CHOUON	ようと	youto	sử dụng	practice_chouon_023	用途	use
CHOUON	そうした	soushita	như vậy	practice_chouon_024	そうした	such
CHOUON	そうか	souka	có phải vậy không?	practice_chouon_025	そうか	is that so?
CHOUON	もよう	moyou	hoa văn	practice_chouon_026	模様	pattern
CHOUON	ないよう	naiyou	nội dung	practice_chouon_027	内容	contents
CHOUON	たいいん	taiin	rời bệnh viện	practice_chouon_028	退院	leaving hospital
